# Bearings,Reorientation_Speeds
1.039009851644737523e+02,7.200000000000000000e+01
1.061023942293834921e+02,7.200000000000000000e+01
1.082560511467640936e+02,7.200000000000000000e+01
1.103576165573296066e+02,7.200000000000000000e+01
1.124035168355279097e+02,7.200000000000000000e+01
1.143909309429439531e+02,7.200000000000000000e+01
1.143909309429439531e+02,0.000000000000000000e+00
1.163177580891925231e+02,0.000000000000000000e+00
1.163177580891925231e+02,0.000000000000000000e+00
1.114621186906905450e+02,0.000000000000000000e+00
1.053423314594047611e+02,0.000000000000000000e+00
9.858160416195653397e+01,0.000000000000000000e+00
9.161291121100731516e+01,0.000000000000000000e+00
8.481160061608528622e+01,0.000000000000000000e+00
7.859922927069771958e+01,0.000000000000000000e+00
8.481160061608528622e+01,0.000000000000000000e+00
9.161291121100731516e+01,0.000000000000000000e+00
9.858160416195653397e+01,0.000000000000000000e+00
1.053423314594047611e+02,0.000000000000000000e+00
1.053423314594047611e+02,0.000000000000000000e+00
1.114621186906904882e+02,0.000000000000000000e+00
1.163177580891925231e+02,0.000000000000000000e+00
1.188713242578688778e+02,0.000000000000000000e+00
1.173118724814004850e+02,0.000000000000000000e+00
3.704799131801280510e+01,0.000000000000000000e+00
3.937500868430993251e+01,7.200000000000000000e+01
4.195747445685361754e+01,7.200000000000000000e+01
4.482748789232397257e+01,7.200000000000000000e+01
4.801885179300364825e+01,7.200000000000000000e+01
5.156529703910166518e+01,7.200000000000000000e+01
5.549749594649654227e+01,7.200000000000000000e+01
5.983854029483723025e+01,7.200000000000000000e+01
6.459779038901911008e+01,7.200000000000000000e+01
6.976356097428794101e+01,7.200000000000000000e+01
7.529603605097116770e+01,7.200000000000000000e+01
7.529603605097116770e+01,0.000000000000000000e+00
8.112283833575440894e+01,0.000000000000000000e+00
8.714011525001336622e+01,0.000000000000000000e+00
9.322096095958551132e+01,0.000000000000000000e+00
9.923029021135101857e+01,0.000000000000000000e+00
1.050422025192897308e+02,0.000000000000000000e+00
1.105545569850133063e+02,0.000000000000000000e+00
1.156969501166082352e+02,0.000000000000000000e+00
1.204314035560349225e+02,0.000000000000000000e+00
1.247476943076753457e+02,0.000000000000000000e+00
1.286561972343532148e+02,0.000000000000000000e+00
1.321806118180814167e+02,0.000000000000000000e+00
1.353519024955440955e+02,0.000000000000000000e+00
1.382038742605396919e+02,0.000000000000000000e+00
1.407702681463825911e+02,0.000000000000000000e+00
1.430830462966587504e+02,0.000000000000000000e+00
1.451715128690234167e+02,0.000000000000000000e+00
1.470619762213343904e+02,0.000000000000000000e+00
1.487777364117201842e+02,0.000000000000000000e+00
1.475916899919367324e+02,0.000000000000000000e+00
1.464207468957591800e+02,0.000000000000000000e+00
1.452745381502348891e+02,0.000000000000000000e+00
1.441616570222788596e+02,0.000000000000000000e+00
1.441616570222788596e+02,0.000000000000000000e+00
1.480391006151772331e+02,0.000000000000000000e+00
1.516633209388474484e+02,0.000000000000000000e+00
1.550451747569509280e+02,0.000000000000000000e+00
1.581954426517017396e+02,0.000000000000000000e+00
1.611241843748028373e+02,0.000000000000000000e+00
1.638403144351639185e+02,0.000000000000000000e+00
1.663513420062136561e+02,0.000000000000000000e+00
1.686632291181207393e+02,0.000000000000000000e+00
1.686632291181207393e+02,0.000000000000000000e+00
1.672920840750063860e+02,0.000000000000000000e+00
1.659518438501401647e+02,0.000000000000000000e+00
1.646456035273689622e+02,0.000000000000000000e+00
1.633766845188799834e+02,0.000000000000000000e+00
1.633766845188799834e+02,0.000000000000000000e+00
1.701107033852790380e+02,0.000000000000000000e+00
1.759827437623540618e+02,0.000000000000000000e+00
1.082261281614404993e+02,0.000000000000000000e+00
1.104077826681061651e+02,7.200000000000005684e+01
